Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Blank_20ng_3-18-2026_Slot2-04_21527.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Crop_100ng_3-18-2026_Slot2-01_21523.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Hind_100ng_3-18-2026_Slot2-03_21525.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Mid_100ng_3-18-2026_Slot2-02_21524.d
A0A7M7R8P2	A0A7M7R8P2_APIME	552324	Ubiquitin carboxyl-terminal hydrolase		213267	183539	88090.1
A0A7M7R8P3	A0A7M7R8P3_APIME	412707	Vacuolar fusion protein MON1 homolog		10557.8	13359.7	10881
A0A7M7R8P5	A0A7M7R8P5_APIME	413735	GCS light chain		47469.5	26865.8	44080
A0A7M7R8P8	A0A7M7R8P8_APIME	552213	Activated RNA polymerase II transcriptional coactivator p15		22652.4	21351.2	34430
A0A7M7R8Q0	A0A7M7R8Q0_APIME	552343	Electron transfer flavoprotein-ubiquinone oxidoreductase	374154	258810	593517	789739
A0A7M7R8Q3	A0A7M7R8Q3_APIME	552671	Cytochrome b-c1 complex subunit 2, mitochondrial	527347	359390	920452	862439
A0A7M7R8S0	A0A7M7R8S0_APIME	413878	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial		52284.5	59427	43242.9
A0A7M7R8S1	A0A7M7R8S1_APIME	LOC550738	NEDD4 family-interacting protein 1-like		60909.6	26742.2	116495
A0A7M7R8S2	A0A7M7R8S2_APIME	LOC552720	V-type proton ATPase subunit E	278578	209328	499998	633280
A0A7M7R8S3	A0A7M7R8S3_APIME	LOC552312	RAD50-interacting protein 1 isoform X1		9412.74	8268.31	9894.93
A0A7M7R8S6	A0A7M7R8S6_APIME	LOC412828	Ubiquitin carboxyl-terminal hydrolase MINDY		19306.8	21719.1	32450.7
A0A7M7R8S7	A0A7M7R8S7_APIME	LOC412180	Septin		18061.3	18187.8	49064.4
A0A7M7R8S8	A0A7M7R8S8_APIME	LOC552446	Collagen alpha-1(I) chain		212334	101571	8110.09
A0A7M7R8T0	A0A7M7R8T0_APIME	LOC552327	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase				14528.4
A0A7M7R8T2	A0A7M7R8T2_APIME	551939	28S ribosomal protein S35, mitochondrial		35075.5	56469.6	58003.3
A0A7M7R8T7	A0A7M7R8T7_APIME	LOC552470	Prostaglandin E synthase 3		42480.7	23924.3	48245.7
A0A7M7R8T9	A0A7M7R8T9_APIME	552758	Retinol dehydrogenase 12		22056	33323.5	27995
A0A7M7R8U0	A0A7M7R8U0_APIME	413976	Derlin		7513.35	6694.12	25585.9
A0A7M7R8U1	A0A7M7R8U1_APIME	551964	UDP-N-acetylglucosamine diphosphorylase		32554.3	42922.6	70032
A0A7M7R8U4	A0A7M7R8U4_APIME	LOC412898	peptidylglycine monooxygenase		19332.7	22709	8102.76
A0A7M7R8U6	A0A7M7R8U6_APIME	552501	Calcium load-activated calcium channel		65510.5	113960	83093.9
A0A7M7R8U8	A0A7M7R8U8_APIME	412305	Succinate-semialdehyde dehydrogenase, mitochondrial	362837	196828	417066	1.14512e+06
A0A7M7R8U9	A0A7M7R8U9_APIME	LOC552781	H/ACA snoRNP protein NHP2			41451	46541.3
